«Эта замечательная жизнь»,1946,"Это не просто один из лучших рождественских фильмов всех времен, это один из лучших фильмов в мире. «Эта замечательная жизнь» была номинирована на шесть премий «Оскар» и занимает 11-е место в списке 100 величайших американских фильмов всех времен, составленном Американским институтом кино."
«Эльф»,2003,"Несмотря на то что этот уморительный, но душевный фильм о человеке, воспитанном эльфами Санты на Северном полюсе, вышел на экраны менее 20 лет назад, он быстро стал праздничной классикой. Ну просто потому, что стать настоящим эльфом не так уж и легко!"
«Рождественские каникулы»,1989,"Вы с ужасом ожидаете приезда родственников на праздники? Если вы посмотрите этот фильм с Чеви Чейзом, то, что вытворяет ваша семья,  покажется вам детским лепетом по сравнению с приключениями семьи  Гризвольдов!"
«Один дома»,1990,"Прошло более тридцати лет с тех пор, как наш любимый рождественский фильм «Один дома» заработал в прокате 285 миллионов долларов, но нам никогда не надоест смотреть на то, как 8-летний Кевин Мак-Калистер срывает планы мерзких бандитов!"
«Один дома – 2: затерянный в Нью-Йорке»,1992,"Кевин Мак-Калистер вернулся! Но теперь он один не дома, а в Нью-Йорке, и у него достаточно денег и кредитных карточек, чтобы превратить Большое Яблоко в собственную площадку для игр. К тому же его старые приятели ― жулики Гарри и Марв ― сбежали из тюрьмы. Новые западни и ловушки уже ждут горе-бандитов."
«Рождественские хроники»,2018,"В канун Рождества брат с сестрой — Кейт и Тедди Пирс — собираются снять на видео появление Санты. Дерзкий замысел выливается в необыкновенное приключение, о котором дети не могли даже мечтать. Вместе с преданными эльфами и волшебными летающими оленями они помогают Санте спасти всеми любимый праздник. А еще есть вторая часть!"
«Клаус»,2019,"Эта оригинальная история от Netflix о почтальоне, который подружился с мастером игрушек, — отличный семейный рождественский фильм, особенно благодаря прекрасной анимации, которая заставит вас  почувствовать волшебство праздника."
«Семьянин»,2000,"Ник Кейдж играет  холостяка-трудоголика из Нью-Йорка, который, проснувшись на Рождество, обнаруживает себя в пригороде Нью-Джерси. Мало того что он сменил локацию, так у него еще внезапно появилась семья, да и вообще, его жизнь теперь совсем-совсем другая."
«Мистер Джангл и рождественское путешествие»,2020,"В этой научно-фантастической сказке стареющий игрушечный мастер, которого много-много лет назад предал ученик, вновь обретает интерес к работе и жизни, ведь оказалось, что у него есть внучка!"
«Эрнест спасает Рождество»,1988,"Санта-Клаус заболел, улегся в постель и теперь не может ездить на своей волшебной оленьей упряжке, раздавать подарки и выполнять желания. Если ему не найдут замену, Рождества не будет. И Новый год не придет никогда. Помочь Санте и всему миру может только один человек — неуклюжий и добрый Эрнест..."
«Отпуск по обмену»,2006,"Две девушки, одна из Англии, другая из США, почти случайно решают поменяться домами на праздники. Кому из них больше повезло — непонятно, но жизнь обеих полностью меняется!"
«Чудо на 34-й улице»,1947,"Волшебная, волшебная классика! Крис Крингл отправляется в суд, чтобы доказать свою личность, и он заставит вас (и особенно ваших детей) поверить в Санта-Клауса."
«Скакун»,1989,"Волшебная фантастическая драма для семейного просмотра. «Скакун»  рассказывает о маленькой девочке, которая находит в лесу раненого оленя, и решает, что это Попрыгун из повозки Санты, который повредил себе ногу, упав с рождественского плаката."
«Шафер-2»,2013,"Сиквел фильма «Шафер» 1999 года режиссера Малькома Д. Ли вновь собирает оригинальный актерский состав, включая Тэйя Диггза, Терренса Ховарда и Ниа Лонг, для участия в праздничной комедии."
"«Самолетом, поездом, машиной»",1987,"Весельчаки Джон Кэнди и Стив Мартин объединились для участия в праздничной сказке «Самолетом, поездом, машиной». Они оба пытаются попасть домой на праздники, но это простая задача превращается в настоящее соревнование!"
«Рождество в Коннектикуте»,1945,"Журналист Элизабет Лейн — одна из самых популярных авторов рецептов, которую обожает вся страна. В своих статьях она описывает себя как трудолюбивую фермершу, заботливую мать и изумительного повара. Но всё это – ложь, она одинокая жительница мегаполиса, которая совершенно не умеет готовить, и ее обман вот-вот вскроется!"
«Санта-Клаус: фильм»,1985,"В этом фильме, рассказывающем о происхождении Санта-Клауса, Дадли Мур играет роль предприимчивого эльфа, а Джон Литгоу — зловещего производителя игрушек."
«Праздничный роман»,1949,"Романтическая комедия, действие которой разворачивается в нью-йоркском универмаге, в 1949 году провалилась в прокате, но в итоге превратилась в рождественскую классику!"
«Рождественская история»,1983,"Индиана, 1940 год. Девятилетний Ральфи мечтает об идеальном рождественском подарке — настоящей двухсотзарядной пневматической винтовке Красного Наездника. Родители, конечно, против, и тогда Ральфи решает обратиться за помощью к самому Санта-Клаусу."
«Гринч»,2018,"Ни один список рождественских фильмов не будет полным без Гринча, и эта новая анимационная версия заслуживает места в списке лучших праздничных фильмов благодаря озвучанию  Бенедикта Камбербэтча."
«Санта-Клаус»,1994,"В рождественскую ночь продавец игрушек Скотт Кэлвин случайно сталкивает со своей крыши странного старичка. К его невероятному удивлению, там же он обнаруживает припаркованного северного оленя. Долго ли, коротко ли, ему придется замещать Санта-Клауса, ведь именно его он и столкнул с крыши той ночью!"
«Санта-Клаус-2»,2002,"Если тебе понравился первый фильм «Санта-Клаус», то можно сразу приступать к просмотру продолжения.  Скотт Кэлвин работает Санта-Клаусом уже восемь лет, но это не значит, что его жизнь похожа на сказку. Сын Чарли растет хулиганом, а сам он согласно контракту обязан безотлагательно найти себе миссис Клаус, потому что холостой Санта — нарушение всех мыслимых правил."
«Принц на Рождество»,2017,"В «Рождественском принце» как-то умещаются все клише из ромкомов разом, но не спеши плеваться, именно это и делает его восхитительным! В канун Рождества начинающая журналистка Эмбер отправляется в королевство Алдовию, чтобы сделать материал о вступлении на престол наследного принца, ну и, конечно, получает от принца не только интервью!"
«Рождество Мэйерсов»,2016,"Рождественская комедия о недружной а семейке, собравшейся вместе на зимние праздники, впервые после смерти матери. Любимый отец просит их о немыслимом подарке – целых пять дней терпеть друг друга под одной крышей."
«Кошмар перед Рождеством»,1993,"Это рождественский фильм? Или все же кино о Хэллоуине? Тим Бертон объединил два праздника, в итоге получилось  одновременно жутко и душевно. Будьте готовы танцевать буги под запоминающиеся песни!"
«Рождество с неудачниками»,2004,"Настроение для легкой праздничной комедии? Вот она! Веселый фильм рассказывает о паре, которая ужасно разозлила своих соседей тем, что решила пропустить Рождество и вместо этого отправиться в круиз по Карибам."
«Убойное Рождество Гарольда и Кумара»,2011,"Ищешь, что посмотреть после того, как дети лягут спать? Включай эту безвкусную праздничную комедию. На этот раз закадычные друзья Гарольд Ли и Кумар Пател сорвали праздник, случайно спалив дотла призовую рождественскую ель тестя Гарольда."
«Рождество Чарли Брауна»,1965,"В этом нестареющем мультфильме Чарли Браун ищет истинный смысл Рождества с помощью своих друзей, любопытной собаки и одной крошечной (но сильной) елочки."
«Последний отпуск»,2014,"В этом душевном романтическом фильме Куин Латифа играет продавщицу из маленького городка, которая тратит свои сбережения на поездку в Европу после того, как узнает, что неизлечимо больна. Но ее по ошибке принимают за богатую эксцентричную особу. И ей ничего не остается как соответствовать!"
«Привет семье!»,2005,"В этом праздничном фильме о довольно странной семье снимается целая россыпь голливудских звезд, включая Сару Джессику Паркер, Люка Уилсона и Дайан Китон."
«Черное Рождество»,1974,"Если вы любите праздничные фильмы ужасов, то вам точно придется по вкусу этот слешер о группе сестер из женского общества, которых преследует убийца. (Есть ремейк 2019 года, который вы тоже можете посмотреть)."
«Полярный экспресс»,2004,"Неожиданно в канун Рождества мальчик, не веривший в существование Санта-Клауса, получает возможность отправиться к нему в гости на Северный полюс. Во время путешествия на поезде «Полярный экспресс» юный герой находит новых друзей и получает полезный урок."
«Жена епископа»,1947,"Кэри Грант играет ангела, который спустился на землю, чтобы напомнить епископу о настоящих ценностях. Епископ не может поверить в существование ангела, но происходящие маленькие чудеса вынуждают его задуматься над суетностью его жизни."
«Необыкновенная история на Рождество»,2017,"Молодой писатель Чарльз Диккенс, отвергнутый издателями,  решает рискнуть и на оставшиеся средства написать новый роман, ведь на дворе канун Рождества и настоящие чудеса случаются! Поверь нам: этот фильм способен пробудить радость в любом Скрудже."
«Подарок на Рождество»,1996,"Этот фильм с Арнольдом Шварценеггером и Синдбадом в ролях пап, которым необходимо подарить своим сыновьям самую популярную рождественскую игрушку года. Весело? О, да. Глупо? Может быть, но зато идеально для просмотра с детьми."
«Совершенно чокнутый»,1994,В этой драме Норы Эфрон 1994 года Стив Мартин играет роль директора телефонной службы спасения. Однако в канун Рождества у дружного коллектива появился повод к отчаянию: их замечательную организацию собираются закрыть.
«Рождественская история»,2009,"Обязательна к просмотру, особенно с детьми! Эта анимационная картина Disney по классической сказке Чарльза Диккенса предлагает совершенно уникальный визуальный опыт."
«Крепкий орешек»,1988,"Является ли «Крепкий орешек» рождественским фильмом? Мы считаем, что да. Этот боевик о рождественской вечеринке в офисе, захваченном террористами, обязательно добавит немного адреналина вашему празднику."
«Это случилось на Пятой авеню»,1947,"Алоизиус Мак-Кивер — бездомный бродяга, любящий роскошь, проводит эимы в дорогих особняках, пустующих в это время года. Этой зимой он облюбовал дом миллиардера Майкла О'Коннора на Пятой Авеню, пригласил туда нового знакомого, а еще девушку, которая сбежала от деспота-отца."
«Рождественский гимн»,1951,"Сколько бы ни снималось экранизации классической сказки Диккенса, этот фильм всё равно остается лучшим. И так считаем не только мы, но и кинокритик газеты «Нью-Йорк Таймс» А. О. Скотт."
«Рождество»,2015,"Уберите детей от экранов и наслаждайтесь смешной комедией о трех друзьях, которые отправляются на поиски лучшей рождественской вечеринки в Нью-Йорке..."
«Гринч — похититель Рождества»,2000,"Среди всех на свете Гринчей Джим Керри – наш любимый. Он похищает Рождество, а заодно и зрительские сердца."
«Секретная служба Санта-Клауса»,1992,"Происходит немыслимое! Санта забывает доставить подарок ребенку в канун Рождества. Теперь его младший сын Артур должен сделать это до рассвета. Прекрасная анимация и британский юмор от Aardman Animations, подарившей нам «Уоллеса и Громита» и «Побег из курятника»"
«Рождественская сказка маппетов»,2003,"И снова Чарльз Диккенс, но на этот раз для детей. Отличный вариант для знакомства с классическим рождественских сюжетом — мюзикл, в котором почти все роли играют знаменитые персонажи Маппет-шоу."
«Реальная любовь»,1950,"Самый романтичный рождественский фильм в мире, рассказывающий истории нескольких пар, которые встречаются, расстаются, признаются в любви, ну или в измене. Главное, что это происходит в рождественские праздники."
«Великий Руперт»,2008,"В жалкой каморке с дырявой крышей проживает престарелый артист цирка с дрессированным бельчонком. Хозяин домика Джо Махоуни выгоняет старика на улицу, и вместо него туда въезжает семья бывших акробатов. Но у них тоже нет денег, и их участь была бы подобной, если б не чудо."
«Четыре Рождества»,2016,"Влюбленная пара, Брэд и Кейт, пытаются встретить Рождество вместе со своими родителями, но дело осложняется тем, что и его, и ее родители в разводе, поэтому им нужно за один день успеть в четыре разных места..."
«Новогодний корпоратив»,1961,"Что обычно происходит на новогодних корпоративах? Вот всё, что вы думаете, да, а может, даже кое-что еще. Смотреть перед корпоративом, чтобы не натворить ничего такого, ну или, наоборот, натворить!"
«Малыши в стране игрушек»,2003,Дисней переосмыслил классическую рождественскую сказку в мюзикле 1961 года с Аннет Фуничелло в главной роли.
«Приключения Элоизы»,1966,"Какой новогодний список без Джули Эндрюс? В фильме «Приключения Элоизы» она играет роль няни шестилетней девочки, которая мечтает о том, чтобы принц ее отвел на бал.  Ну и принц, конечно, появляется!"
«Как Гринч украл Рождество!»,1984,"Хотя этот телевизионный фильм 60-х годов длится всего 26 минут, невозможно не включить классику в этот список. К тому же она подходит для маленьких детей, которым пока сложно осилить длинные ленты!"
«Гремлины»,2003,"Очаровательный пушистый зверек Магвай способен растрогать даже камень. Вдобавок, у него абсолютный слух. Только будьте осторожны: он может погибнуть от солнечного света, на него нельзя брызгать водой, а что будет, если накормить его после полуночи, просто страшно представить."
«Однажды в Токио»,1994,"В этом аниме, переосмысливающем историю Рождества Христова, группа бездомных в Токио в канун Рождества находит брошенного младенца. Герои решают во что бы то ни стало найти родителей малютки, еще не подозревая, что, став ее ангелами-хранителями, они прикоснутся к чуду Рождества и получат шанс изменить свою собственную жизнь..."
«Чудо на 34-й улице»,1983,"Ремейк классического фильма 40-х годов с Ричардом Аттенборо в роли Криса Крингла, ну то есть Санты. Чудеса возможны, если в них верить!"
«Поменяться местами»,2006,"В современной (ну условно!) версии романа Марка Твена «Принц и нищий» действие происходит во время праздников, а в главных ролях снялись Дэн Эйкройд и Эдди Мерфи. Приготовьтесь смеяться!"
«Счастливого Рождества»,1938,Прекрасная французская лента о рождественском перемирии во время Первой мировой войны. Она даже был номинирована на премию «Оскар» как лучший фильм на иностранном языке в 2006 году.
«Рождественский гимн»,2003,Этот классический рождественский фильм – одна из ранних (и лучших) полнометражных экранизаций классической повести Чарльза Диккенса.
«Плохой Санта»,2008,"Оставьте эту мрачную комедию для взрослых, детям ее смотреть рановато. Вилли — необычный Санта-Клаус. Раз в год на Рождество он вместе со своим напарником грабит очередной универмаг. Но и ему придется совершать чудеса – такова традиция праздника, ничего не поделаешь!"
«Рождественская сказка»,1964,"Это тоже фильм о семье, которая собирается вместе на Рождество, но на этот раз семья французская, так что скелеты, доставаемые из шкафа,  будут особенно изящны и хороши."
«Рудольф – красноносый олень»,1969,"Он родился красноносым. Но ведь это не беда. Нос его светился, будто яркая звезда. Обижали все олени красноносого юнца. И в игру не принимали. И дразнили без конца. Но однажды, накануне Рождества, чтоб в метель не заплутать, попросил Рудольфа Санта путь упряжке освещать. И отныне скачет первым красноносый молодец. Все олени его любят. Наш Рудольф – он лучше всех!"
«Приключения Снеговика Фрости»,1944,"За старую шелковую шляпу идет борьба между закончившим карьеру магом и группой школьников, ведь это не просто шляпа, она помогла оживить снеговика. Понимая, что весной снеговик начнет таять, снеговик Фрости и маленькая девочка, с которой Фрости подружился, отправляются на Северный полюс. Маг же преследует их, желая вернуть свою шляпу."
«Встреть меня в Сент-Луисе»,1940,"Действие этого фильма происходит в течение целого года, так что это не совсем рождественский фильм. Но мы не могли не включить в список картину, в которой Джуди Гарленд поет «Have Yourself a Merry Little Christmas»!"
«Запомни ночь»,1940,"Героиню Барбары Стэнвик арестовывают за кражу в магазине прямо перед Рождеством, ее дело ведет окружной прокурор в исполнении Фреда Мак-Мюррея. Он сочувствует девушке и в итоге освобождает ее под залог и отвозит на праздники к своей семье."
